Stock,VaR@90%,VaR@95%,VaR@99%
Raymond James,-4606.980315560905,-5803.8885895495805,-8371.594554696576
RTX Corporation,-3365.804222278135,-4364.132791391866,-6084.058436716281
Realty Income,-2980.85854872899,-3900.0047717150374,-5698.625151754777
Regency Centers,-3794.836079069249,-4942.319582966276,-6955.624394759498
Regeneron,-8134.0630270282145,-10161.941844507874,-13091.336802024736
Regions Financial Corporation,-6605.413303253148,-8238.68591942143,-11020.657176620529
Republic Services,-2084.3327959131284,-2809.9656855091707,-4241.426758876984
ResMed,-4067.4929387854036,-5301.921807041912,-7161.2705029479275
Revvity,-4257.596397417932,-5271.636971420477,-7607.36493463111
Rockwell Automation,-4529.0634002119505,-5811.146950683672,-7905.959707113553
"Rollins, Inc.",-3138.4813275644874,-4055.4917143556336,-5853.169956288002
Roper Technologies,-2413.986881912875,-3323.0137091000056,-4772.357695573209
Ross Stores,-4377.807458403186,-5748.855341357393,-8182.3127666505125
Royal Caribbean Group,-8110.0925146216,-9945.176500169444,-13163.5876982143
S&P Global,-3406.039644849654,-4521.750094135061,-6290.606770016484
Salesforce,-5180.4224713225185,-6458.5737892476,-8773.9709506078
SBA Communications,-3876.7694957455797,-4957.464264070835,-6924.223686112248
Schlumberger,-6028.380755447076,-7582.923019314019,-10291.737996040003
Seagate Technology,-8562.41949405407,-10640.86587371222,-14113.965099015955
Sempra Energy,-2186.7886159595732,-3006.154310664648,-4522.934232848814
ServiceNow,-5630.8183344234385,-6926.178862148077,-9558.771779757899
Sherwin-Williams,-3680.8892451900338,-4728.374294862885,-6832.622260602127
Simon Property Group,-5337.944557735306,-6784.297038135985,-9335.388419111077
Skyworks Solutions,-7507.692833843197,-9561.835831749437,-12205.892800559726
J.M. Smucker Company (The),-2445.193285484796,-3267.4638481401234,-4627.961654719868
Smurfit WestRock,,,
Snap-on,-3581.6123364161112,-4576.082126627575,-6471.0181703271755
Solventum,,,
Southern Company,-1863.6774841592742,-2578.653902618045,-3805.0768405788945
Southwest Airlines,-6294.990701572852,-8095.935845190225,-10688.594995337702
Stanley Black & Decker,-4487.387268279059,-5781.271484486606,-8167.6653199127095
Starbucks,-4283.242384635204,-5661.34511363368,-7961.5853094395725
State Street Corporation,-4652.427620032786,-5889.95399522533,-8365.184956920195
Steel Dynamics,-6464.391054597958,-8033.849764009118,-10638.251206625822
Steris,-2799.5101101328714,-3697.694563406821,-5467.279467189115
Stryker Corporation,-3176.4485386355027,-4111.913929136482,-5938.787776332891
Supermicro,-14426.95299600389,-17276.183190728818,-20836.39540521178
Synchrony Financial,-6581.839565893403,-8382.46521728419,-11350.95928656902
Synopsys,-3345.115408344268,-4455.470416638827,-6200.951245351261
Sysco,-3044.5520931377587,-4132.386471034209,-5946.437771670417
T-Mobile US,-5345.862661080614,-6640.26989842264,-9453.836144510436
T. Rowe Price,-4182.477628438128,-5378.026414465603,-7509.1650563148605
Take-Two Interactive,-6131.195399149847,-7718.9731156569505,-10449.456579408992
"Tapestry, Inc.",-8754.857256652323,-10758.0128446028,-14358.693044376012
Targa Resources,-9167.689957630822,-10956.996952981539,-14467.706296777547
Target Corporation,-4911.1848931542945,-6279.389729065052,-8623.141379832647
TE Connectivity,-3894.8409670596075,-5097.951749309504,-7294.269926653754
Teledyne Technologies,-3274.447550753007,-4250.665831053564,-6021.814571894917
Teleflex,-3444.5014653371513,-4607.2139293691525,-6690.5711348073555
Teradyne,-6003.320646003466,-7533.363077606036,-10029.055528223957
"Tesla, Inc.",-17819.46472812524,-20407.16483634546,-24404.67546063243
Texas Instruments,-3497.5883694315244,-4567.9895759388155,-6549.6006544881175
Textron,-5617.322246594059,-7180.7196497869945,-9733.121882956784
Thermo Fisher Scientific,-3290.264270716571,-4302.751223295283,-6184.423230854975
TJX Companies,-3155.6728069927385,-4162.292361194314,-5813.689048324655
Tractor Supply,-5181.4486905876165,-6655.6829274226875,-8957.747140634176
Trane Technologies,-4633.376750453635,-5881.329355735963,-8408.604801495097
TransDigm Group,-4225.6064509302505,-5498.242107177862,-7551.784619422227
Travelers Companies (The),-2718.5291534019893,-3610.195113316501,-5124.105494213711
Trimble Inc.,-5572.039036715105,-7145.890677340264,-9872.491928037816
Truist,-4561.593979952611,-5858.240600144773,-8245.170993847352
Tyler Technologies,-4774.413156595304,-6156.180687455785,-8313.356938823452
Tyson Foods,-5068.503078835181,-6508.4550875712275,-8985.203765167898
U.S. Bank,-3807.7351691702174,-4914.024358062103,-6785.492407969802
Uber,-9269.079351221002,-11284.55406808115,-14776.393154859394
"UDR, Inc.",-3087.085757104551,-4124.784239066039,-5936.107539164998
Ulta Beauty,-6108.1424603021105,-7584.715060330711,-10403.989343621854
Union Pacific Corporation,-3030.7919638886156,-4136.940438467613,-5911.95873294985
United Airlines Holdings,-6950.4217812476345,-8790.69300398865,-11621.662147267913
United Parcel Service,-3646.303294593151,-4754.160029033678,-6800.303706800058
United Rentals,-10185.804403555334,-12479.2709914342,-15458.102428613794
UnitedHealth Group,-2725.869454629699,-3677.2526066063015,-5249.336798200238
Universal Health Services,-4857.36584849704,-6099.804268622244,-8419.663076824887
Valero Energy,-6597.9897576706935,-8126.28739228325,-10669.121720643338
Ventas,-4678.420729855085,-5955.639575806466,-8125.081974998707
Veralto,-1514.0026737957426,-2077.097286594938,-3302.409294666277
Verisign,-3393.66494391632,-4462.614221206793,-6203.837225352625
Verisk,-2676.6215202044327,-3559.3543550506215,-5165.366640679372
Verizon,-2309.8876033441416,-3256.6967994276047,-4678.605311955476
Vertex Pharmaceuticals,-6811.174671343904,-8358.854424940095,-11009.267820562762
Viatris,-4848.108812009696,-6206.554897115941,-8536.102833530716
Vici Properties,-3921.865798253778,-5187.833754018819,-7327.822810869361
Visa Inc.,-2534.953334551778,-3448.519722912476,-4871.837174767994
Vistra,-8648.153999133207,-10522.332794843549,-13723.301839891456
Vulcan Materials Company,-4264.2432959127555,-5583.552266184805,-7827.499548570825
W. R. Berkley Corporation,-2794.1044468259593,-3682.7475251782976,-5321.461312241774
W. W. Grainger,-4294.7953433475495,-5550.815556504714,-7565.586042227341
Wabtec,-4276.660558909689,-5464.040926911431,-7629.990273431666
Walgreens Boots Alliance,-4957.026617269082,-6332.681407472695,-8441.66578774267
Walmart,-2374.8797863344,-3326.1663689056277,-4762.700300201602
Walt Disney Company (The),-4377.273760457394,-5530.846462612975,-7700.289709328755
Warner Bros. Discovery,-7233.518808880572,-9234.631718223845,-12255.476307112423
Waste Management,-2371.3397881738406,-3152.7589796252596,-4562.130975600792
Waters Corporation,-3648.1944511689107,-4758.010385650035,-6806.864657165098
WEC Energy Group,-1987.6046689435016,-2783.0902096400537,-4081.9601065747993
Wells Fargo,-5072.890045435967,-6391.562436920902,-8664.503230946819
Welltower,-4085.5093481944623,-5217.320737401381,-7389.081197495528
West Pharmaceutical Services,-5321.540003308265,-6867.838306966437,-9406.132634277503
Western Digital,-7832.427992268914,-9874.91960608583,-12777.95513324707
Weyerhaeuser,-5360.770021609545,-6795.930765520742,-9434.11677537308
Williams Companies,-6083.7802207859595,-7689.661295641563,-10522.89511733412
Willis Towers Watson,-2430.2778361100063,-3363.846391453802,-4886.246368906641
Wynn Resorts,-8002.172592618563,-9687.76412002171,-12816.44784891549
Xcel Energy,-1899.8690346754406,-2616.3792304066037,-3900.1565799664936
Xylem Inc.,-4403.019264247085,-5761.456096806798,-7997.235691674503
Yum! Brands,-2793.1180644888564,-3813.119324765168,-5454.036745279834
Zebra Technologies,-6555.981299522136,-8186.73017537872,-10932.254201798827
Zimmer Biomet,-3523.5358366232185,-4556.522804081012,-6564.390065359091
Zoetis,-3397.638521098818,-4474.441557755547,-6626.93765516696
